Event,ExecTime(ms),VectorSize
Add Kernel Exec Time,0.249878,8388608,NVIDIA GeForce RTX 2080 Ti
Shutdown Kernel Exec Time,281.861,8388608,NVIDIA GeForce RTX 2080 Ti
Total Exec Time,1773.29,8388608,NVIDIA GeForce RTX 2080 Ti
Memory Setup Time,3.63553,8388608,NVIDIA GeForce RTX 2080 Ti
Enqueue Kernel Exec Time,1487.38,8388608,NVIDIA GeForce RTX 2080 Ti
Add Kernel Exec Time,0.251587,8388608,NVIDIA GeForce RTX 2080 Ti
Shutdown Kernel Exec Time,281.86,8388608,NVIDIA GeForce RTX 2080 Ti
Total Exec Time,1773.39,8388608,NVIDIA GeForce RTX 2080 Ti
Memory Setup Time,3.7907,8388608,NVIDIA GeForce RTX 2080 Ti
Enqueue Kernel Exec Time,1487.35,8388608,NVIDIA GeForce RTX 2080 Ti
Add Kernel Exec Time,0.250976,8388608,NVIDIA GeForce RTX 2080 Ti
Shutdown Kernel Exec Time,281.86,8388608,NVIDIA GeForce RTX 2080 Ti
Total Exec Time,1772.83,8388608,NVIDIA GeForce RTX 2080 Ti
Memory Setup Time,3.22971,8388608,NVIDIA GeForce RTX 2080 Ti
Enqueue Kernel Exec Time,1487.36,8388608,NVIDIA GeForce RTX 2080 Ti
Add Kernel Exec Time,0.249878,8388608,NVIDIA GeForce RTX 2080 Ti
Shutdown Kernel Exec Time,281.861,8388608,NVIDIA GeForce RTX 2080 Ti
Total Exec Time,1773.88,8388608,NVIDIA GeForce RTX 2080 Ti
Memory Setup Time,4.27192,8388608,NVIDIA GeForce RTX 2080 Ti
Enqueue Kernel Exec Time,1487.37,8388608,NVIDIA GeForce RTX 2080 Ti
Add Kernel Exec Time,0.251343,8388608,NVIDIA GeForce RTX 2080 Ti
Shutdown Kernel Exec Time,281.861,8388608,NVIDIA GeForce RTX 2080 Ti
Total Exec Time,1772.81,8388608,NVIDIA GeForce RTX 2080 Ti
Memory Setup Time,3.20764,8388608,NVIDIA GeForce RTX 2080 Ti
Enqueue Kernel Exec Time,1487.36,8388608,NVIDIA GeForce RTX 2080 Ti
Add Kernel Exec Time,0.250122,8388608,NVIDIA GeForce RTX 2080 Ti
Shutdown Kernel Exec Time,281.861,8388608,NVIDIA GeForce RTX 2080 Ti
Total Exec Time,1773.08,8388608,NVIDIA GeForce RTX 2080 Ti
Memory Setup Time,3.47387,8388608,NVIDIA GeForce RTX 2080 Ti
Enqueue Kernel Exec Time,1487.35,8388608,NVIDIA GeForce RTX 2080 Ti
Add Kernel Exec Time,0.251343,8388608,NVIDIA GeForce RTX 2080 Ti
Shutdown Kernel Exec Time,281.861,8388608,NVIDIA GeForce RTX 2080 Ti
Total Exec Time,1773.06,8388608,NVIDIA GeForce RTX 2080 Ti
Memory Setup Time,3.41611,8388608,NVIDIA GeForce RTX 2080 Ti
Enqueue Kernel Exec Time,1487.4,8388608,NVIDIA GeForce RTX 2080 Ti
Add Kernel Exec Time,0.250123,8388608,NVIDIA GeForce RTX 2080 Ti
Shutdown Kernel Exec Time,281.861,8388608,NVIDIA GeForce RTX 2080 Ti
Total Exec Time,1772.62,8388608,NVIDIA GeForce RTX 2080 Ti
Memory Setup Time,3.01054,8388608,NVIDIA GeForce RTX 2080 Ti
Enqueue Kernel Exec Time,1487.37,8388608,NVIDIA GeForce RTX 2080 Ti
Add Kernel Exec Time,0.251221,8388608,NVIDIA GeForce RTX 2080 Ti
Shutdown Kernel Exec Time,281.86,8388608,NVIDIA GeForce RTX 2080 Ti
Total Exec Time,1773.28,8388608,NVIDIA GeForce RTX 2080 Ti
Memory Setup Time,3.61322,8388608,NVIDIA GeForce RTX 2080 Ti
Enqueue Kernel Exec Time,1487.38,8388608,NVIDIA GeForce RTX 2080 Ti
Add Kernel Exec Time,0.250977,8388608,NVIDIA GeForce RTX 2080 Ti
Shutdown Kernel Exec Time,281.861,8388608,NVIDIA GeForce RTX 2080 Ti
Total Exec Time,3543.23,16777216,NVIDIA GeForce RTX 2080 Ti
Memory Setup Time,4.07225,16777216,NVIDIA GeForce RTX 2080 Ti
Enqueue Kernel Exec Time,2974.69,16777216,NVIDIA GeForce RTX 2080 Ti
Add Kernel Exec Time,0.495849,16777216,NVIDIA GeForce RTX 2080 Ti
