Event,ExecTime(ms),VectorSize,Device
Total Exec Time,0.715325,65536,NVIDIA GeForce RTX 2080 Ti
Memory Setup Time,0.273543,65536,NVIDIA GeForce RTX 2080 Ti
Kernel Exec Time,0.422495,65536,NVIDIA GeForce RTX 2080 Ti
Total Exec Time,1.32561,131072,NVIDIA GeForce RTX 2080 Ti
Memory Setup Time,0.52981,131072,NVIDIA GeForce RTX 2080 Ti
Kernel Exec Time,0.774177,131072,NVIDIA GeForce RTX 2080 Ti
Total Exec Time,2.47353,262144,NVIDIA GeForce RTX 2080 Ti
Memory Setup Time,1.04809,262144,NVIDIA GeForce RTX 2080 Ti
Kernel Exec Time,1.40349,262144,NVIDIA GeForce RTX 2080 Ti
Total Exec Time,4.32915,524288,NVIDIA GeForce RTX 2080 Ti
Memory Setup Time,2.07436,524288,NVIDIA GeForce RTX 2080 Ti
Kernel Exec Time,2.22454,524288,NVIDIA GeForce RTX 2080 Ti
Total Exec Time,8.63203,1048576,NVIDIA GeForce RTX 2080 Ti
Memory Setup Time,4.16638,1048576,NVIDIA GeForce RTX 2080 Ti
Kernel Exec Time,4.44211,1048576,NVIDIA GeForce RTX 2080 Ti
Total Exec Time,17.0375,2097152,NVIDIA GeForce RTX 2080 Ti
Memory Setup Time,8.43226,2097152,NVIDIA GeForce RTX 2080 Ti
Kernel Exec Time,8.57702,2097152,NVIDIA GeForce RTX 2080 Ti
Total Exec Time,34.0641,4194304,NVIDIA GeForce RTX 2080 Ti
Memory Setup Time,18.8598,4194304,NVIDIA GeForce RTX 2080 Ti
Kernel Exec Time,15.1575,4194304,NVIDIA GeForce RTX 2080 Ti
Total Exec Time,66.2446,8388608,NVIDIA GeForce RTX 2080 Ti
Memory Setup Time,38.6986,8388608,NVIDIA GeForce RTX 2080 Ti
Kernel Exec Time,27.4955,8388608,NVIDIA GeForce RTX 2080 Ti
Total Exec Time,124.075,16777216,NVIDIA GeForce RTX 2080 Ti
Memory Setup Time,79.5504,16777216,NVIDIA GeForce RTX 2080 Ti
Kernel Exec Time,44.4735,16777216,NVIDIA GeForce RTX 2080 Ti
Total Exec Time,233.516,33554432,NVIDIA GeForce RTX 2080 Ti
Memory Setup Time,156.29,33554432,NVIDIA GeForce RTX 2080 Ti
Kernel Exec Time,77.1608,33554432,NVIDIA GeForce RTX 2080 Ti
Total Exec Time,448.151,67108864,NVIDIA GeForce RTX 2080 Ti
Memory Setup Time,303.862,67108864,NVIDIA GeForce RTX 2080 Ti
Kernel Exec Time,144.237,67108864,NVIDIA GeForce RTX 2080 Ti
Total Exec Time,852.918,134217728,NVIDIA GeForce RTX 2080 Ti
Memory Setup Time,594.841,134217728,NVIDIA GeForce RTX 2080 Ti
Kernel Exec Time,257.959,134217728,NVIDIA GeForce RTX 2080 Ti
Total Exec Time,1651.39,268435456,NVIDIA GeForce RTX 2080 Ti
Memory Setup Time,1161.87,268435456,NVIDIA GeForce RTX 2080 Ti
Kernel Exec Time,489.473,268435456,NVIDIA GeForce RTX 2080 Ti
Total Exec Time,3218.67,536870912,NVIDIA GeForce RTX 2080 Ti
Memory Setup Time,2289.52,536870912,NVIDIA GeForce RTX 2080 Ti
Kernel Exec Time,929.028,536870912,NVIDIA GeForce RTX 2080 Ti
Total Exec Time,3.22522,1024,NVIDIA GeForce RTX 2080 Ti
Memory Setup Time,0.099741,1024,NVIDIA GeForce RTX 2080 Ti
Kernel Exec Time,0.508767,1024,NVIDIA GeForce RTX 2080 Ti
Total Exec Time,0.19874,2048,NVIDIA GeForce RTX 2080 Ti
Memory Setup Time,0.043995,2048,NVIDIA GeForce RTX 2080 Ti
Kernel Exec Time,0.133537,2048,NVIDIA GeForce RTX 2080 Ti
Total Exec Time,0.239404,4096,NVIDIA GeForce RTX 2080 Ti
Memory Setup Time,0.03871,4096,NVIDIA GeForce RTX 2080 Ti
Kernel Exec Time,0.184417,4096,NVIDIA GeForce RTX 2080 Ti
Total Exec Time,0.332715,8192,NVIDIA GeForce RTX 2080 Ti
Memory Setup Time,0.045136,8192,NVIDIA GeForce RTX 2080 Ti
Kernel Exec Time,0.273247,8192,NVIDIA GeForce RTX 2080 Ti
Total Exec Time,0.334561,16384,NVIDIA GeForce RTX 2080 Ti
Memory Setup Time,0.081072,16384,NVIDIA GeForce RTX 2080 Ti
Kernel Exec Time,0.238945,16384,NVIDIA GeForce RTX 2080 Ti
Total Exec Time,0.544877,32768,NVIDIA GeForce RTX 2080 Ti
Memory Setup Time,0.145091,32768,NVIDIA GeForce RTX 2080 Ti
Kernel Exec Time,0.383072,32768,NVIDIA GeForce RTX 2080 Ti
Total Exec Time,0.713058,65536,NVIDIA GeForce RTX 2080 Ti
Memory Setup Time,0.273566,65536,NVIDIA GeForce RTX 2080 Ti
Kernel Exec Time,0.420096,65536,NVIDIA GeForce RTX 2080 Ti
Total Exec Time,1.33342,131072,NVIDIA GeForce RTX 2080 Ti
Memory Setup Time,0.524821,131072,NVIDIA GeForce RTX 2080 Ti
Kernel Exec Time,0.786495,131072,NVIDIA GeForce RTX 2080 Ti
Total Exec Time,2.46029,262144,NVIDIA GeForce RTX 2080 Ti
Memory Setup Time,1.04965,262144,NVIDIA GeForce RTX 2080 Ti
Kernel Exec Time,1.38845,262144,NVIDIA GeForce RTX 2080 Ti
Total Exec Time,4.36516,524288,NVIDIA GeForce RTX 2080 Ti
Memory Setup Time,2.08427,524288,NVIDIA GeForce RTX 2080 Ti
Kernel Exec Time,2.24883,524288,NVIDIA GeForce RTX 2080 Ti
Total Exec Time,8.50336,1048576,NVIDIA GeForce RTX 2080 Ti
Memory Setup Time,4.12555,1048576,NVIDIA GeForce RTX 2080 Ti
Kernel Exec Time,4.35405,1048576,NVIDIA GeForce RTX 2080 Ti
Total Exec Time,16.8156,2097152,NVIDIA GeForce RTX 2080 Ti
Memory Setup Time,8.81987,2097152,NVIDIA GeForce RTX 2080 Ti
Kernel Exec Time,7.96698,2097152,NVIDIA GeForce RTX 2080 Ti
Total Exec Time,34.7626,4194304,NVIDIA GeForce RTX 2080 Ti
Memory Setup Time,18.3348,4194304,NVIDIA GeForce RTX 2080 Ti
Kernel Exec Time,15.7837,4194304,NVIDIA GeForce RTX 2080 Ti
Total Exec Time,66.7592,8388608,NVIDIA GeForce RTX 2080 Ti
Memory Setup Time,38.8922,8388608,NVIDIA GeForce RTX 2080 Ti
Kernel Exec Time,27.818,8388608,NVIDIA GeForce RTX 2080 Ti
Total Exec Time,123.643,16777216,NVIDIA GeForce RTX 2080 Ti
Memory Setup Time,79.4675,16777216,NVIDIA GeForce RTX 2080 Ti
Kernel Exec Time,44.1249,16777216,NVIDIA GeForce RTX 2080 Ti
Total Exec Time,241.782,33554432,NVIDIA GeForce RTX 2080 Ti
Memory Setup Time,155.988,33554432,NVIDIA GeForce RTX 2080 Ti
Kernel Exec Time,85.7431,33554432,NVIDIA GeForce RTX 2080 Ti
Total Exec Time,444.907,67108864,NVIDIA GeForce RTX 2080 Ti
Memory Setup Time,304.81,67108864,NVIDIA GeForce RTX 2080 Ti
Kernel Exec Time,140.043,67108864,NVIDIA GeForce RTX 2080 Ti
Total Exec Time,854.631,134217728,NVIDIA GeForce RTX 2080 Ti
Memory Setup Time,595.269,134217728,NVIDIA GeForce RTX 2080 Ti
Kernel Exec Time,259.246,134217728,NVIDIA GeForce RTX 2080 Ti
Total Exec Time,1648.61,268435456,NVIDIA GeForce RTX 2080 Ti
Memory Setup Time,1160.1,268435456,NVIDIA GeForce RTX 2080 Ti
Kernel Exec Time,488.447,268435456,NVIDIA GeForce RTX 2080 Ti
Total Exec Time,3221.25,536870912,NVIDIA GeForce RTX 2080 Ti
Memory Setup Time,2291.99,536870912,NVIDIA GeForce RTX 2080 Ti
Kernel Exec Time,929.134,536870912,NVIDIA GeForce RTX 2080 Ti
Total Exec Time,2.9779,1024,NVIDIA GeForce RTX 2080 Ti
Memory Setup Time,0.097838,1024,NVIDIA GeForce RTX 2080 Ti
Kernel Exec Time,0.456832,1024,NVIDIA GeForce RTX 2080 Ti
Total Exec Time,0.196855,2048,NVIDIA GeForce RTX 2080 Ti
Memory Setup Time,0.043998,2048,NVIDIA GeForce RTX 2080 Ti
Kernel Exec Time,0.132992,2048,NVIDIA GeForce RTX 2080 Ti
Total Exec Time,0.23708,4096,NVIDIA GeForce RTX 2080 Ti
Memory Setup Time,0.038361,4096,NVIDIA GeForce RTX 2080 Ti
Kernel Exec Time,0.184096,4096,NVIDIA GeForce RTX 2080 Ti
Total Exec Time,0.318757,8192,NVIDIA GeForce RTX 2080 Ti
Memory Setup Time,0.044941,8192,NVIDIA GeForce RTX 2080 Ti
Kernel Exec Time,0.259039,8192,NVIDIA GeForce RTX 2080 Ti
Total Exec Time,0.351198,16384,NVIDIA GeForce RTX 2080 Ti
Memory Setup Time,0.092745,16384,NVIDIA GeForce RTX 2080 Ti
Kernel Exec Time,0.243296,16384,NVIDIA GeForce RTX 2080 Ti
Total Exec Time,0.539556,32768,NVIDIA GeForce RTX 2080 Ti
Memory Setup Time,0.143772,32768,NVIDIA GeForce RTX 2080 Ti
Kernel Exec Time,0.380831,32768,NVIDIA GeForce RTX 2080 Ti
Total Exec Time,0.716714,65536,NVIDIA GeForce RTX 2080 Ti
Memory Setup Time,0.272743,65536,NVIDIA GeForce RTX 2080 Ti
Kernel Exec Time,0.425793,65536,NVIDIA GeForce RTX 2080 Ti
Total Exec Time,1.31432,131072,NVIDIA GeForce RTX 2080 Ti
Memory Setup Time,0.526308,131072,NVIDIA GeForce RTX 2080 Ti
Kernel Exec Time,0.765952,131072,NVIDIA GeForce RTX 2080 Ti
Total Exec Time,2.31081,262144,NVIDIA GeForce RTX 2080 Ti
Memory Setup Time,1.05299,262144,NVIDIA GeForce RTX 2080 Ti
Kernel Exec Time,1.23533,262144,NVIDIA GeForce RTX 2080 Ti
Total Exec Time,4.31255,524288,NVIDIA GeForce RTX 2080 Ti
Memory Setup Time,2.08631,524288,NVIDIA GeForce RTX 2080 Ti
Kernel Exec Time,2.19341,524288,NVIDIA GeForce RTX 2080 Ti
Total Exec Time,8.35956,1048576,NVIDIA GeForce RTX 2080 Ti
Memory Setup Time,4.14642,1048576,NVIDIA GeForce RTX 2080 Ti
Kernel Exec Time,4.19008,1048576,NVIDIA GeForce RTX 2080 Ti
Total Exec Time,16.4959,2097152,NVIDIA GeForce RTX 2080 Ti
Memory Setup Time,8.78195,2097152,NVIDIA GeForce RTX 2080 Ti
Kernel Exec Time,7.68608,2097152,NVIDIA GeForce RTX 2080 Ti
Total Exec Time,34.518,4194304,NVIDIA GeForce RTX 2080 Ti
Memory Setup Time,18.4425,4194304,NVIDIA GeForce RTX 2080 Ti
Kernel Exec Time,16.0298,4194304,NVIDIA GeForce RTX 2080 Ti
Total Exec Time,66.4784,8388608,NVIDIA GeForce RTX 2080 Ti
Memory Setup Time,38.8337,8388608,NVIDIA GeForce RTX 2080 Ti
Kernel Exec Time,27.5944,8388608,NVIDIA GeForce RTX 2080 Ti
Total Exec Time,120.668,16777216,NVIDIA GeForce RTX 2080 Ti
Memory Setup Time,79.429,16777216,NVIDIA GeForce RTX 2080 Ti
Kernel Exec Time,41.1904,16777216,NVIDIA GeForce RTX 2080 Ti
Total Exec Time,234.545,33554432,NVIDIA GeForce RTX 2080 Ti
Memory Setup Time,156.047,33554432,NVIDIA GeForce RTX 2080 Ti
Kernel Exec Time,78.4466,33554432,NVIDIA GeForce RTX 2080 Ti
Total Exec Time,443.141,67108864,NVIDIA GeForce RTX 2080 Ti
Memory Setup Time,304.505,67108864,NVIDIA GeForce RTX 2080 Ti
Kernel Exec Time,138.578,67108864,NVIDIA GeForce RTX 2080 Ti
Total Exec Time,847.388,134217728,NVIDIA GeForce RTX 2080 Ti
Memory Setup Time,594.429,134217728,NVIDIA GeForce RTX 2080 Ti
Kernel Exec Time,252.842,134217728,NVIDIA GeForce RTX 2080 Ti
Total Exec Time,1665.83,268435456,NVIDIA GeForce RTX 2080 Ti
Memory Setup Time,1164.41,268435456,NVIDIA GeForce RTX 2080 Ti
Kernel Exec Time,501.354,268435456,NVIDIA GeForce RTX 2080 Ti
Total Exec Time,3217.39,536870912,NVIDIA GeForce RTX 2080 Ti
Memory Setup Time,2287.86,536870912,NVIDIA GeForce RTX 2080 Ti
Kernel Exec Time,929.407,536870912,NVIDIA GeForce RTX 2080 Ti
Total Exec Time,3.85971,1024,NVIDIA GeForce RTX 2080 Ti
Memory Setup Time,0.096844,1024,NVIDIA GeForce RTX 2080 Ti
Kernel Exec Time,0.507328,1024,NVIDIA GeForce RTX 2080 Ti
