Event,ExecTime(ms),VectorSize,WorkGroupSize
Total Exec Time,2.34534,8192,1024
Memory Setup Time,2.12148,8192,1024
Kernel Exec Time,0.169983,8192,1024
Total Exec Time,2.72653,8192,1024
Memory Setup Time,2.50397,8192,1024
Kernel Exec Time,0.171009,8192,1024
Total Exec Time,2.28929,8192,1024
Memory Setup Time,2.06357,8192,1024
Kernel Exec Time,0.169984,8192,1024
Total Exec Time,2.55501,8192,1024
Memory Setup Time,2.33416,8192,1024
Kernel Exec Time,0.169985,8192,1024
Total Exec Time,2.75357,8192,1024
Memory Setup Time,2.53002,8192,1024
Kernel Exec Time,0.171008,8192,1024
Total Exec Time,2.65103,8192,1024
Memory Setup Time,2.42647,8192,1024
Kernel Exec Time,0.169985,8192,1024
Total Exec Time,2.30148,8192,1024
Memory Setup Time,2.07882,8192,1024
Kernel Exec Time,0.169983,8192,1024
Total Exec Time,2.34013,16384,1024
Memory Setup Time,2.11637,16384,1024
Kernel Exec Time,0.169985,16384,1024
Total Exec Time,2.56966,16384,1024
Memory Setup Time,2.34627,16384,1024
Kernel Exec Time,0.171009,16384,1024
Total Exec Time,2.5067,16384,1024
Memory Setup Time,2.28428,16384,1024
Kernel Exec Time,0.169985,16384,1024
Total Exec Time,2.83485,16384,1024
Memory Setup Time,2.61196,16384,1024
Kernel Exec Time,0.169983,16384,1024
Total Exec Time,2.50747,16384,1024
Memory Setup Time,2.28467,16384,1024
Kernel Exec Time,0.169985,16384,1024
Total Exec Time,2.70953,16384,1024
Memory Setup Time,2.48546,16384,1024
Kernel Exec Time,0.169985,16384,1024
Total Exec Time,2.65605,16384,1024
Memory Setup Time,2.43358,16384,1024
Kernel Exec Time,0.169983,16384,1024
Total Exec Time,3.06012,16384,1024
Memory Setup Time,2.83745,16384,1024
Kernel Exec Time,0.169985,16384,1024
Total Exec Time,3.71055,16384,1024
Memory Setup Time,3.49152,16384,1024
Kernel Exec Time,0.169984,16384,1024
Total Exec Time,3.01964,16384,1024
Memory Setup Time,2.79598,16384,1024
Kernel Exec Time,0.169983,16384,1024
Total Exec Time,3.25436,16384,1024
Memory Setup Time,3.03102,16384,1024
Kernel Exec Time,0.169985,16384,1024
Total Exec Time,2.77005,16384,1024
Memory Setup Time,2.54169,16384,1024
Kernel Exec Time,0.169983,16384,1024
Total Exec Time,3.0483,16384,1024
Memory Setup Time,2.82728,16384,1024
Kernel Exec Time,0.169984,16384,1024
Total Exec Time,2.74823,16384,1024
Memory Setup Time,2.52553,16384,1024
Kernel Exec Time,0.169983,16384,1024
Total Exec Time,2.68368,16384,1024
Memory Setup Time,2.46035,16384,1024
Kernel Exec Time,0.169985,16384,1024
Total Exec Time,2.37364,16384,1024
Memory Setup Time,2.15097,16384,1024
Kernel Exec Time,0.169985,16384,1024
Total Exec Time,2.58195,16384,1024
Memory Setup Time,2.35881,16384,1024
Kernel Exec Time,0.169984,16384,1024
Total Exec Time,2.69332,16384,1024
Memory Setup Time,2.47056,16384,1024
Kernel Exec Time,0.169985,16384,1024
Total Exec Time,2.25876,16384,1024
Memory Setup Time,2.03481,16384,1024
Kernel Exec Time,0.169984,16384,1024
Total Exec Time,2.83176,16384,1024
Memory Setup Time,2.61027,16384,1024
Kernel Exec Time,0.169984,16384,1024
Total Exec Time,2.72207,16384,1024
Memory Setup Time,2.48712,16384,1024
Kernel Exec Time,0.169983,16384,1024
Total Exec Time,2.65025,16384,1024
Memory Setup Time,2.42681,16384,1024
Kernel Exec Time,0.171009,16384,1024
Total Exec Time,2.42693,16384,1024
Memory Setup Time,2.18313,16384,1024
Kernel Exec Time,0.171008,16384,1024
Total Exec Time,2.23915,16384,1024
Memory Setup Time,2.0169,16384,1024
Kernel Exec Time,0.169985,16384,1024
Total Exec Time,2.61143,16384,1024
Memory Setup Time,2.39281,16384,1024
Kernel Exec Time,0.169985,16384,1024
Total Exec Time,2.77881,16384,1024
Memory Setup Time,2.5485,16384,1024
Kernel Exec Time,0.171009,16384,1024
Total Exec Time,2.2807,16384,1024
