Event,ExecTime(ms),VectorSize,WorkGroupSize,Device
Memory Setup Time,2.87044,2048,32,NVIDIA GeForce RTX 2080 Ti
Kernel Exec Time,0.010207,2048,32,NVIDIA GeForce RTX 2080 Ti
Total Exec Time,2.71499,2048,32,NVIDIA GeForce RTX 2080 Ti
Memory Setup Time,2.64191,2048,32,NVIDIA GeForce RTX 2080 Ti
Kernel Exec Time,0.010241,2048,32,NVIDIA GeForce RTX 2080 Ti
Total Exec Time,2.99263,2048,32,NVIDIA GeForce RTX 2080 Ti
Memory Setup Time,2.92641,2048,32,NVIDIA GeForce RTX 2080 Ti
Kernel Exec Time,0.009984,2048,32,NVIDIA GeForce RTX 2080 Ti
Total Exec Time,2.88562,2048,32,NVIDIA GeForce RTX 2080 Ti
Memory Setup Time,2.81852,2048,32,NVIDIA GeForce RTX 2080 Ti
Kernel Exec Time,0.010081,2048,32,NVIDIA GeForce RTX 2080 Ti
Total Exec Time,2.73665,2048,32,NVIDIA GeForce RTX 2080 Ti
Memory Setup Time,2.67057,2048,32,NVIDIA GeForce RTX 2080 Ti
Kernel Exec Time,0.010241,2048,32,NVIDIA GeForce RTX 2080 Ti
Total Exec Time,2.71122,2048,32,NVIDIA GeForce RTX 2080 Ti
Memory Setup Time,2.64512,2048,32,NVIDIA GeForce RTX 2080 Ti
Kernel Exec Time,0.01024,2048,32,NVIDIA GeForce RTX 2080 Ti
Total Exec Time,2.69219,2048,32,NVIDIA GeForce RTX 2080 Ti
Memory Setup Time,2.62618,2048,32,NVIDIA GeForce RTX 2080 Ti
Kernel Exec Time,0.010239,2048,32,NVIDIA GeForce RTX 2080 Ti
Total Exec Time,3.22287,2048,32,NVIDIA GeForce RTX 2080 Ti
Memory Setup Time,3.10502,2048,32,NVIDIA GeForce RTX 2080 Ti
Kernel Exec Time,0.012288,2048,32,NVIDIA GeForce RTX 2080 Ti
Total Exec Time,3.12301,2048,32,NVIDIA GeForce RTX 2080 Ti
Memory Setup Time,3.01401,2048,32,NVIDIA GeForce RTX 2080 Ti
Kernel Exec Time,0.012001,2048,32,NVIDIA GeForce RTX 2080 Ti
Total Exec Time,2.82029,2048,32,NVIDIA GeForce RTX 2080 Ti
Memory Setup Time,2.75334,2048,32,NVIDIA GeForce RTX 2080 Ti
Kernel Exec Time,0.010143,2048,32,NVIDIA GeForce RTX 2080 Ti
Total Exec Time,2.75615,2048,32,NVIDIA GeForce RTX 2080 Ti
Memory Setup Time,2.69015,2048,32,NVIDIA GeForce RTX 2080 Ti
Kernel Exec Time,0.01024,2048,32,NVIDIA GeForce RTX 2080 Ti
Total Exec Time,2.92825,2048,32,NVIDIA GeForce RTX 2080 Ti
Memory Setup Time,2.86115,2048,32,NVIDIA GeForce RTX 2080 Ti
Kernel Exec Time,0.010241,2048,32,NVIDIA GeForce RTX 2080 Ti
Total Exec Time,3.39268,2048,32,NVIDIA GeForce RTX 2080 Ti
Memory Setup Time,3.32598,2048,32,NVIDIA GeForce RTX 2080 Ti
Kernel Exec Time,0.010016,2048,32,NVIDIA GeForce RTX 2080 Ti
Total Exec Time,2.85169,2048,32,NVIDIA GeForce RTX 2080 Ti
Memory Setup Time,2.77722,2048,32,NVIDIA GeForce RTX 2080 Ti
Kernel Exec Time,0.010687,2048,32,NVIDIA GeForce RTX 2080 Ti
Total Exec Time,3.00753,2048,32,NVIDIA GeForce RTX 2080 Ti
Memory Setup Time,2.9407,2048,32,NVIDIA GeForce RTX 2080 Ti
Kernel Exec Time,0.010049,2048,32,NVIDIA GeForce RTX 2080 Ti
Total Exec Time,3.13953,2048,32,NVIDIA GeForce RTX 2080 Ti
Memory Setup Time,2.99387,2048,32,NVIDIA GeForce RTX 2080 Ti
Kernel Exec Time,0.014143,2048,32,NVIDIA GeForce RTX 2080 Ti
Total Exec Time,2.66878,2048,32,NVIDIA GeForce RTX 2080 Ti
Memory Setup Time,2.60345,2048,32,NVIDIA GeForce RTX 2080 Ti
Kernel Exec Time,0.01024,2048,32,NVIDIA GeForce RTX 2080 Ti
Total Exec Time,2.89123,2048,32,NVIDIA GeForce RTX 2080 Ti
Memory Setup Time,2.82384,2048,32,NVIDIA GeForce RTX 2080 Ti
Kernel Exec Time,0.010239,2048,32,NVIDIA GeForce RTX 2080 Ti
Total Exec Time,3.06693,2048,32,NVIDIA GeForce RTX 2080 Ti
Memory Setup Time,2.98804,2048,32,NVIDIA GeForce RTX 2080 Ti
Kernel Exec Time,0.010911,2048,32,NVIDIA GeForce RTX 2080 Ti
Total Exec Time,3.10303,2048,32,NVIDIA GeForce RTX 2080 Ti
