Event,ExecTime(ms),VectorSize,WorkGroupSize,Device
Total Exec Time,0.642761,16384,1024,NVIDIA GeForce RTX 2080 Ti
Memory Setup Time,0.150592,16384,1024,NVIDIA GeForce RTX 2080 Ti
Enqueue Kernel Exec Time,0.235521,16384,1024,NVIDIA GeForce RTX 2080 Ti
Add Kernel Exec Time,0.167937,16384,1024,NVIDIA GeForce RTX 2080 Ti
Shutdown Kernel Exec Time,0.036865,16384,1024,NVIDIA GeForce RTX 2080 Ti
Total Exec Time,0.867978,32768,1024,NVIDIA GeForce RTX 2080 Ti
Memory Setup Time,0.251114,32768,1024,NVIDIA GeForce RTX 2080 Ti
Enqueue Kernel Exec Time,0.305249,32768,1024,NVIDIA GeForce RTX 2080 Ti
Add Kernel Exec Time,0.21472,32768,1024,NVIDIA GeForce RTX 2080 Ti
Shutdown Kernel Exec Time,0.040352,32768,1024,NVIDIA GeForce RTX 2080 Ti
Total Exec Time,1.37939,65536,1024,NVIDIA GeForce RTX 2080 Ti
Memory Setup Time,0.445024,65536,1024,NVIDIA GeForce RTX 2080 Ti
Enqueue Kernel Exec Time,0.5112,65536,1024,NVIDIA GeForce RTX 2080 Ti
Add Kernel Exec Time,0.315936,65536,1024,NVIDIA GeForce RTX 2080 Ti
Shutdown Kernel Exec Time,0.039072,65536,1024,NVIDIA GeForce RTX 2080 Ti
Total Exec Time,2.29495,131072,1024,NVIDIA GeForce RTX 2080 Ti
Memory Setup Time,0.855175,131072,1024,NVIDIA GeForce RTX 2080 Ti
Enqueue Kernel Exec Time,0.775103,131072,1024,NVIDIA GeForce RTX 2080 Ti
Add Kernel Exec Time,0.496319,131072,1024,NVIDIA GeForce RTX 2080 Ti
Shutdown Kernel Exec Time,0.095904,131072,1024,NVIDIA GeForce RTX 2080 Ti
Total Exec Time,3.63805,262144,1024,NVIDIA GeForce RTX 2080 Ti
Memory Setup Time,1.30752,262144,1024,NVIDIA GeForce RTX 2080 Ti
Enqueue Kernel Exec Time,0.965952,262144,1024,NVIDIA GeForce RTX 2080 Ti
Add Kernel Exec Time,1.15386,262144,1024,NVIDIA GeForce RTX 2080 Ti
Shutdown Kernel Exec Time,0.141313,262144,1024,NVIDIA GeForce RTX 2080 Ti
Total Exec Time,6.7465,524288,1024,NVIDIA GeForce RTX 2080 Ti
Memory Setup Time,2.86848,524288,1024,NVIDIA GeForce RTX 2080 Ti
Enqueue Kernel Exec Time,1.52781,524288,1024,NVIDIA GeForce RTX 2080 Ti
Add Kernel Exec Time,1.99094,524288,1024,NVIDIA GeForce RTX 2080 Ti
Shutdown Kernel Exec Time,0.278528,524288,1024,NVIDIA GeForce RTX 2080 Ti
Total Exec Time,13.3174,1048576,1024,NVIDIA GeForce RTX 2080 Ti
Memory Setup Time,6.22631,1048576,1024,NVIDIA GeForce RTX 2080 Ti
Enqueue Kernel Exec Time,2.63987,1048576,1024,NVIDIA GeForce RTX 2080 Ti
Add Kernel Exec Time,3.81542,1048576,1024,NVIDIA GeForce RTX 2080 Ti
Shutdown Kernel Exec Time,0.550911,1048576,1024,NVIDIA GeForce RTX 2080 Ti
Total Exec Time,27.5406,2097152,1024,NVIDIA GeForce RTX 2080 Ti
Memory Setup Time,12.3582,2097152,1024,NVIDIA GeForce RTX 2080 Ti
Enqueue Kernel Exec Time,5.30493,2097152,1024,NVIDIA GeForce RTX 2080 Ti
Add Kernel Exec Time,7.48749,2097152,1024,NVIDIA GeForce RTX 2080 Ti
Shutdown Kernel Exec Time,1.06579,2097152,1024,NVIDIA GeForce RTX 2080 Ti
Total Exec Time,54.4017,4194304,1024,NVIDIA GeForce RTX 2080 Ti
Memory Setup Time,27.06,4194304,1024,NVIDIA GeForce RTX 2080 Ti
Enqueue Kernel Exec Time,10.3968,4194304,1024,NVIDIA GeForce RTX 2080 Ti
